Orly,Très bien,1
Beaucamps-Ligny,Sans information,0
Châtellerault,Très bien avec félicitations du jury,0
Jacou,Bien,2
Paris 16e  Arrondissement,Assez bien,395
Petit-Bourg,Très bien,0
Bondy,Sans information,0
Rouen,Très bien,462
Sarreguemines,Sans information,0
Le Mée-sur-Seine,Très bien,0
Milhaud,Assez bien,9
Lasbordes,Très bien avec félicitations du jury,0
Saint-Pierre-du-Mont,Très bien,1
Louviers,Sans mention,10
Pouzauges,Sans information,0
Cayenne,Sans mention,708
Fort-de-France,Sans mention,295
Saint-Benoît,Assez bien,88
Pamandzi,Très bien avec félicitations du jury,0
Longwy,Assez bien,12
Sarrebourg,Très bien,7
Dammarie-les-Lys,Bien,3
Mitry-Mory,Sans mention,8
Meaux,Très bien,36
Valdoie,Très bien,0
Pirae,Assez bien,115
Camblanes-et-Meynac,Sans information,0
Sours,Très bien,0
Surgères,Très bien avec félicitations du jury,0
La Rochette,Très bien,0
Saint-Pierre-du-Mont,Assez bien,1
Plomelin,Très bien,0
Saint-Girons,Très bien,0
Lunel,Sans information,0
La Queue-les-Yvelines,Bien,9
Masseube,Sans mention,15
Chamarandes-Choignes,Très bien avec félicitations du jury,0
Saint-Quay-Portrieux,Sans mention,1
Montpellier,Assez bien,3464
Perpignan,Sans mention,653
Annecy,Assez bien,592
Châteauroux,Sans information,0
La Fère,Très bien avec félicitations du jury,0
Buc,Très bien avec félicitations du jury,1
Kourou,Très bien avec félicitations du jury,0
Neuilly-sur-Marne,Assez bien,71
Corenc,Assez bien,49
Cormeilles-en-Parisis,Sans mention,1
Arcachon,Très bien avec félicitations du jury,0
Varennes-sur-Seine,Sans mention,5
Romans-sur-Isère,Assez bien,38
Gugnécourt,Sans information,0
Port-Louis,Assez bien,29
Guer,Très bien avec félicitations du jury,0
Auray,Très bien,2
Digoin,Sans mention,7
Coulounieix-Chamiers,Très bien avec félicitations du jury,0
Lavelanet,Très bien,1
Lyon 2e  Arrondissement,Assez bien,248
Saint-Germain-en-Laye,Assez bien,156
Agneaux,Très bien avec félicitations du jury,0
Yutz,Très bien avec félicitations du jury,0
Lyon 9e  Arrondissement,Bien,177
Talence,Bien,1735
Rodez,Très bien,33
Fougerolles-Saint-Valbert,Sans information,0
Saint-Michel-sur-Orge,Très bien avec félicitations du jury,0
Ifs,Assez bien,85
Villers-lès-Nancy,Sans information,0
Nandax,Bien,1
Vanves,Très bien,135
Carpentras,Assez bien,26
Saint-Amans-Soult,Bien,2
Guebwiller,Très bien,4
Paris  6e  Arrondissement,Sans information,1
Nogaro,Très bien avec félicitations du jury,0
Largentière,Bien,0
Saint-Chamas,Bien,2
Carquefou,Très bien,48
Romorantin-Lanthenay,Très bien avec félicitations du jury,0
Bétheny,Très bien avec félicitations du jury,0
La Madeleine,Très bien,20
Brive-la-Gaillarde,Très bien,15
Marseille,Assez bien,87
Merdrignac,Assez bien,5
Forbach,Sans information,0
Cambrai,Bien,91
Lagny-sur-Marne,Sans mention,22
Garges-lès-Gonesse,Assez bien,12
Somme-Suippe,Sans information,0
Orchies,Très bien,1
Châteaudun,Très bien,0
Val-de-Reuil,Très bien,0
Montmorot,Sans information,0
Saint-Sernin-sur-Rance,Bien,7
La Guerche-de-Bretagne,Assez bien,1
Tilloy-lès-Mofflaines,Sans mention,19
Chéraute,Très bien,0
Nevers,Très bien,67
Hasparren,Bien,5
Roville-aux-Chênes,Sans information,0
Metz,Assez bien,1453
Moissac,Sans information,0
Méru,Bien,3
Moissy-Cramayel,Sans mention,5
Villetaneuse,Sans mention,943
Loos,Sans information,0
Avon,Bien,11
Damigny,Très bien,1
Friville-Escarbotin,Très bien,1
Saint-Chamas,Sans mention,4
Morne-à-l'Eau,Très bien avec félicitations du jury,0
Andrézieux-Bouthéon,Bien,5
La Garenne-Colombes,Assez bien,5
Basse-Terre,Bien,52
Ondes,Très bien,0
Château-Thierry,Sans mention,32
Fosses,Sans mention,15
Lamballe-Armor,Très bien avec félicitations du jury,0
Bourg-de-Péage,Bien,3
Saint-Pierre-Quiberon,Assez bien,0
Baie-Mahault,Assez bien,79
Aubière,Très bien,121
Noisiel,Sans mention,51
Saint-Martin-d'Hères,Sans mention,1410
Saint-Ouen-l'Aumône,Assez bien,49
Cayenne,Très bien avec félicitations du jury,1
Amiens,Assez bien,2048
Caen,Sans mention,1685
Colombes,Assez bien,50
Prémontré,Bien,1
Crest,Bien,3
Saint-André-lez-Lille,Bien,11
Jonzac,Très bien avec félicitations du jury,0
La Rochelle,Très bien,182
Cahors,Très bien avec félicitations du jury,0
Saint-Quay-Portrieux,Très bien,2
Bazas,Sans information,0
Poitiers,Sans information,0
Sedan,Très bien avec félicitations du jury,0
Dunkerque,Bien,206
Forges-les-Eaux,Très bien,0
Le François,Très bien avec félicitations du jury,0
Champagne-sur-Seine,Sans information,0
Evron,Bien,1
Saint-Benoît,Très bien avec félicitations du jury,0
Macouria,Bien,3
Meudon,Très bien,0
Le Havre,Très bien avec félicitations du jury,45
Lambesc,Bien,0
Bastia,Sans mention,68
Corbeil-Essonnes,Assez bien,159
Decize,Sans information,0
Oeyreluy,Très bien avec félicitations du jury,0
Courbevoie,Sans information,0
Lopérec,Sans mention,16
Mondeville,Sans mention,27
Rumilly,Sans information,0
Lyon 5e  Arrondissement,Sans mention,126
Charleville-Mézières,Sans information,0
Pontoise,Très bien,10
Saint-Aignan,Sans information,0
Saint-Laurent,Bien,2
La Baule-Escoublac,Sans information,0
Soissons,Très bien avec félicitations du jury,0
Nemours,Bien,0
Lyon 6e  Arrondissement,Assez bien,33
Saintes,Très bien,2
Ugine,Très bien avec félicitations du jury,0
Aiguillon,Sans information,0
Saint-Laurent-de-Chamousset,Très bien avec félicitations du jury,0
